school_name,Science Total Students Tested,Science Percentage Standard Exceeded,Science Percentage Standard Met,Science Percentage Standard Met and Above,Science Percentage Standard Nearly Met,Science Percentage Standard Not Met
Everett Middle,182,1.65,4.4,6.04,53.85,40.11
Buena Vista/ Horace Mann K-8,128,3.13,10.16,13.28,54.69,32.03
Lick (James) Middle,105,2.91,10.68,13.59,52.43,33.98
Marina Middle,209,12.92,31.58,44.5,45.45,10.05
Presidio Middle,309,17.8,27.83,45.63,45.63,8.74
Lee (Edwin and Anita) Newcomer,,,,,,
Mission Education Center,19,0.0,0.0,0.0,15.79,84.21
Rooftop Elementary,127,24.41,30.71,55.12,30.71,14.17
San Francisco Community Alternative,59,22.03,16.95,38.98,47.46,13.56
Carver (George Washington) Elementary,19,0.0,0.0,0.0,47.37,52.63
New Traditions Elementary,43,37.21,32.56,69.77,30.23,0.0
Moscone (George R.) Elementary,61,6.56,18.03,24.59,55.74,19.67
Lilienthal (Claire) Elementary,129,29.46,33.33,62.79,30.23,6.98
Drew (Charles) College Preparatory Academy,16,0.0,0.0,0.0,56.25,43.75
Creative Arts Charter,102,25.49,32.35,57.84,33.33,8.82
Yu (Alice Fong) Elementary,128,35.94,28.91,64.84,35.16,0.0
Chin (John Yehall) Elementary,46,26.09,34.78,60.87,34.78,4.35
Sunset Elementary,63,38.1,42.86,80.95,19.05,0.0
Tenderloin Community,44,2.27,9.09,11.36,43.18,45.45
The New School of San Francisco,104,27.88,26.92,54.81,39.42,5.77
